Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@f24a651,de.ugoe.cs.tcs.se.graph.SEFile@e02579a,6.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@91ab351,de.ugoe.cs.tcs.se.graph.SEFile@3250e307,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3250e307,de.ugoe.cs.tcs.se.graph.SEFile@e02579a,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4ec8bb95,de.ugoe.cs.tcs.se.graph.SEFile@25a4a357,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@25a4a357,de.ugoe.cs.tcs.se.graph.SEFile@e02579a,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4ec8bb95,de.ugoe.cs.tcs.se.graph.SEFile@e02579a,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@58f66263,de.ugoe.cs.tcs.se.graph.SEFile@2f99cd81,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@58f66263,de.ugoe.cs.tcs.se.graph.SEFile@91ab351,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3250e307,de.ugoe.cs.tcs.se.graph.SEFile@25a4a357,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3250e307,de.ugoe.cs.tcs.se.graph.SEFile@2f99cd81,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3250e307,de.ugoe.cs.tcs.se.graph.SEFile@5d163dd4,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3250e307,de.ugoe.cs.tcs.se.graph.SEFile@1fd4613e,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@25a4a357,de.ugoe.cs.tcs.se.graph.SEFile@2f99cd81,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@25a4a357,de.ugoe.cs.tcs.se.graph.SEFile@5d163dd4,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@25a4a357,de.ugoe.cs.tcs.se.graph.SEFile@1fd4613e,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@e02579a,de.ugoe.cs.tcs.se.graph.SEFile@2f99cd81,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@e02579a,de.ugoe.cs.tcs.se.graph.SEFile@5d163dd4,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@e02579a,de.ugoe.cs.tcs.se.graph.SEFile@1fd4613e,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2f99cd81,de.ugoe.cs.tcs.se.graph.SEFile@5d163dd4,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2f99cd81,de.ugoe.cs.tcs.se.graph.SEFile@1fd4613e,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5d163dd4,de.ugoe.cs.tcs.se.graph.SEFile@1fd4613e,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@14626b93,de.ugoe.cs.tcs.se.graph.SEFile@1bb4c03e,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@14626b93,de.ugoe.cs.tcs.se.graph.SEFile@36d7b8b7,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@14626b93,de.ugoe.cs.tcs.se.graph.SEFile@5c40c34,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1bb4c03e,de.ugoe.cs.tcs.se.graph.SEFile@36d7b8b7,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1bb4c03e,de.ugoe.cs.tcs.se.graph.SEFile@5c40c34,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@36d7b8b7,de.ugoe.cs.tcs.se.graph.SEFile@5c40c34,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4ec8bb95,de.ugoe.cs.tcs.se.graph.SEFile@1fd4613e,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4ec8bb95,de.ugoe.cs.tcs.se.graph.SEFile@f24a651,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4ec8bb95,de.ugoe.cs.tcs.se.graph.SEFile@5c40c34,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4ec8bb95,de.ugoe.cs.tcs.se.graph.SEFile@36d7b8b7,4.0,Undirected
