Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@17fd4d1a,de.ugoe.cs.tcs.se.graph.SEFile@1d05266a,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@17fd4d1a,de.ugoe.cs.tcs.se.graph.SEFile@256fa829,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@17fd4d1a,de.ugoe.cs.tcs.se.graph.SEFile@5d174e26,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@17fd4d1a,de.ugoe.cs.tcs.se.graph.SEFile@605e8d2d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@17fd4d1a,de.ugoe.cs.tcs.se.graph.SEFile@46134317,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@17fd4d1a,de.ugoe.cs.tcs.se.graph.SEFile@28c5dd3c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@17fd4d1a,de.ugoe.cs.tcs.se.graph.SEFile@47c865f1,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@17fd4d1a,de.ugoe.cs.tcs.se.graph.SEFile@4dcb18d5,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@17fd4d1a,de.ugoe.cs.tcs.se.graph.SEFile@2ee3c4b8,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@17fd4d1a,de.ugoe.cs.tcs.se.graph.SEFile@78dc5551,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@17fd4d1a,de.ugoe.cs.tcs.se.graph.SEFile@6459266c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@17fd4d1a,de.ugoe.cs.tcs.se.graph.SEFile@3497692d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@17fd4d1a,de.ugoe.cs.tcs.se.graph.SEFile@32a65bfa,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@17fd4d1a,de.ugoe.cs.tcs.se.graph.SEFile@4d47ed09,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1d05266a,de.ugoe.cs.tcs.se.graph.SEFile@256fa829,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1d05266a,de.ugoe.cs.tcs.se.graph.SEFile@5d174e26,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1d05266a,de.ugoe.cs.tcs.se.graph.SEFile@605e8d2d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1d05266a,de.ugoe.cs.tcs.se.graph.SEFile@46134317,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1d05266a,de.ugoe.cs.tcs.se.graph.SEFile@28c5dd3c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1d05266a,de.ugoe.cs.tcs.se.graph.SEFile@47c865f1,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1d05266a,de.ugoe.cs.tcs.se.graph.SEFile@4dcb18d5,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1d05266a,de.ugoe.cs.tcs.se.graph.SEFile@2ee3c4b8,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1d05266a,de.ugoe.cs.tcs.se.graph.SEFile@78dc5551,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1d05266a,de.ugoe.cs.tcs.se.graph.SEFile@6459266c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1d05266a,de.ugoe.cs.tcs.se.graph.SEFile@3497692d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1d05266a,de.ugoe.cs.tcs.se.graph.SEFile@32a65bfa,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1d05266a,de.ugoe.cs.tcs.se.graph.SEFile@4d47ed09,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@256fa829,de.ugoe.cs.tcs.se.graph.SEFile@5d174e26,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@256fa829,de.ugoe.cs.tcs.se.graph.SEFile@605e8d2d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@256fa829,de.ugoe.cs.tcs.se.graph.SEFile@46134317,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@256fa829,de.ugoe.cs.tcs.se.graph.SEFile@28c5dd3c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@256fa829,de.ugoe.cs.tcs.se.graph.SEFile@47c865f1,2.0,Undirected
