Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@174d90c3,de.ugoe.cs.tcs.se.graph.SEFile@5f2a4cb2,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6f7c095f,de.ugoe.cs.tcs.se.graph.SEFile@702f1784,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4536df2e,de.ugoe.cs.tcs.se.graph.SEFile@512d9708,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4536df2e,de.ugoe.cs.tcs.se.graph.SEFile@206118b1,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@512d9708,de.ugoe.cs.tcs.se.graph.SEFile@206118b1,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@35451ad6,de.ugoe.cs.tcs.se.graph.SEFile@67bceea8,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@35451ad6,de.ugoe.cs.tcs.se.graph.SEFile@27fda207,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@35451ad6,de.ugoe.cs.tcs.se.graph.SEFile@7456b68f,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@35451ad6,de.ugoe.cs.tcs.se.graph.SEFile@18457355,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@35451ad6,de.ugoe.cs.tcs.se.graph.SEFile@538b26dc,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@67bceea8,de.ugoe.cs.tcs.se.graph.SEFile@27fda207,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@67bceea8,de.ugoe.cs.tcs.se.graph.SEFile@7456b68f,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@67bceea8,de.ugoe.cs.tcs.se.graph.SEFile@18457355,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@67bceea8,de.ugoe.cs.tcs.se.graph.SEFile@538b26dc,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@27fda207,de.ugoe.cs.tcs.se.graph.SEFile@7456b68f,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@27fda207,de.ugoe.cs.tcs.se.graph.SEFile@18457355,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@27fda207,de.ugoe.cs.tcs.se.graph.SEFile@538b26dc,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7456b68f,de.ugoe.cs.tcs.se.graph.SEFile@18457355,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7456b68f,de.ugoe.cs.tcs.se.graph.SEFile@538b26dc,2.0,Undirected
