Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@174d90c3,org.apache.commons.io.filefilter,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5f2a4cb2,org.apache.commons.io.comparator,1.0
de.ugoe.cs.tcs.se.graph.SEFile@d78e6bb,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1d40ec22,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6f7c095f,org.apache.commons.io.filefilter,1.0
de.ugoe.cs.tcs.se.graph.SEFile@702f1784,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4536df2e,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@512d9708,org.apache.commons.io.comparator,1.0
de.ugoe.cs.tcs.se.graph.SEFile@206118b1,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@35451ad6,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@67bceea8,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@27fda207,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7456b68f,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@18457355,org.apache.commons.io.filefilter,1.0
de.ugoe.cs.tcs.se.graph.SEFile@538b26dc,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@22b31232,org.apache.commons.io.filefilter,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7ab8456f,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@29b22fd6,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@181c9cd0,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@676d907f,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2717092,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@18dadb89,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@535f74bd,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@743e2bfc,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1dda0042,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@178a79d2,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2c6741ed,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@ce012ef,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6fb51e82,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2e552a0a,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2c190a31,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4809f793,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@54200866,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@159ef2b8,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4e06f3ec,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@51645811,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@328d798a,org.apache.commons.io.filefilter,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6e88253,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3ed3a8dd,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@c7dc25e,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@47f25b68,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@34c85c0,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7ca8d908,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@62495c99,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6efd664c,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@15458b44,org.apache.commons.io.comparator,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7148d62d,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@65e5fedf,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6a6bc327,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5b22051b,org.apache.commons.io.comparator,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7ef968d,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4e252b7d,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1f5c9d8b,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7b206e09,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3b403696,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@65eb9528,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@86267ab,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3d6b6ec0,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2b1d7e06,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7f654d04,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@54091686,org.apache.commons.io,0.98
de.ugoe.cs.tcs.se.graph.SEFile@70e0be79,org.apache.commons.io.output,0.98
de.ugoe.cs.tcs.se.graph.SEFile@6b59ba20,org.apache.commons.io.compress,0.98
de.ugoe.cs.tcs.se.graph.SEFile@7449915f,org.apache.commons.io.comparator,1.0
de.ugoe.cs.tcs.se.graph.SEFile@c0adc65,org.apache.commons.io.input,0.9
de.ugoe.cs.tcs.se.graph.SEFile@2370f1cf,org.apache.commons.io.input,0.98
de.ugoe.cs.tcs.se.graph.SEFile@15695738,org.apache.commons.io.input,0.9411919999999999
de.ugoe.cs.tcs.se.graph.SEFile@17a240a4,org.apache.commons.io.input,0.9603999999999999
de.ugoe.cs.tcs.se.graph.SEFile@5a4a3e0d,org.apache.commons.io,0.98
de.ugoe.cs.tcs.se.graph.SEFile@594659fe,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@418af0c3,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@b652fbf,org.apache.commons.io.input,0.98
de.ugoe.cs.tcs.se.graph.SEFile@713e1402,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@55ebb2db,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@12700183,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4f5cd79f,org.apache.commons.io.comparator,1.0
de.ugoe.cs.tcs.se.graph.SEFile@27a3b66e,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@676529e9,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2c05826,org.apache.commons.io.output,0.825
de.ugoe.cs.tcs.se.graph.SEFile@6d0eaee3,org.apache.commons.io.filefilter,1.0
de.ugoe.cs.tcs.se.graph.SEFile@ac9fa24,org.apache.commons.io.input,0.9
de.ugoe.cs.tcs.se.graph.SEFile@67275bc2,org.apache.commons.io.comparator,1.0
de.ugoe.cs.tcs.se.graph.SEFile@32fe5ee3,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@67ed783c,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@458751b8,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6bdaf725,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6213a4c3,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@61aa6e1a,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2678f70,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3290771f,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@25896472,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@75804861,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@933a55b,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@72b22d21,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@55e06ed0,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4a529bc7,org.apache.commons.io.output,1.0
