Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@5d906646,org.apache.commons.lang.exception,1.0
de.ugoe.cs.tcs.se.graph.SEFile@57680d36,org.apache.commons.lang.exception,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4c167fe2,org.apache.commons.lang.exception,1.0
de.ugoe.cs.tcs.se.graph.SEFile@69dc00d1,org.apache.commons.lang.text,1.0
de.ugoe.cs.tcs.se.graph.SEFile@70cfdc6a,org.apache.commons.lang.text,1.0
de.ugoe.cs.tcs.se.graph.SEFile@53b2a4ed,org.apache.commons.lang.text,1.0
de.ugoe.cs.tcs.se.graph.SEFile@334ea5bb,org.apache.commons.lang.builder,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4293a886,org.apache.commons.lang.builder,1.0
de.ugoe.cs.tcs.se.graph.SEFile@67df0bb5,org.apache.commons.lang.builder,1.0
de.ugoe.cs.tcs.se.graph.SEFile@266a6461,org.apache.commons.lang3.concurrent,1.0
de.ugoe.cs.tcs.se.graph.SEFile@30e30ca6,org.apache.commons.lang3.concurrent,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2067a0c8,org.apache.commons.lang3.concurrent,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5e09a37f,org.apache.commons.lang.builder,1.0
de.ugoe.cs.tcs.se.graph.SEFile@65dd7850,org.apache.commons.lang.builder,1.0
de.ugoe.cs.tcs.se.graph.SEFile@74a5dae,org.apache.commons.lang.builder,1.0
de.ugoe.cs.tcs.se.graph.SEFile@43a50420,org.apache.commons.lang.mutable,1.0
de.ugoe.cs.tcs.se.graph.SEFile@153e3f3c,org.apache.commons.lang.mutable,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6405d7cf,org.apache.commons.lang.mutable,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1db15646,org.apache.commons.lang3.concurrent,1.0
de.ugoe.cs.tcs.se.graph.SEFile@181955ae,org.apache.commons.lang3.concurrent,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4e62e211,org.apache.commons.lang3.concurrent,1.0
de.ugoe.cs.tcs.se.graph.SEFile@45944b5a,org.apache.commons.lang3.builder,1.0
de.ugoe.cs.tcs.se.graph.SEFile@260b8e92,org.apache.commons.lang3.builder,1.0
de.ugoe.cs.tcs.se.graph.SEFile@d6c2f61,org.apache.commons.lang3.builder,1.0
de.ugoe.cs.tcs.se.graph.SEFile@174c619d,org.apache.commons.lang.<error>,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2e8f139,org.apache.commons.lang.<error>,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3002b6aa,org.apache.commons.lang.<error>,1.0
de.ugoe.cs.tcs.se.graph.SEFile@21eee6d0,org.apache.commons.lang.<error>,1.0
de.ugoe.cs.tcs.se.graph.SEFile@738411ec,org.apache.commons.lang.<error>,1.0
de.ugoe.cs.tcs.se.graph.SEFile@14630bc4,org.apache.commons.lang.<error>,1.0
de.ugoe.cs.tcs.se.graph.SEFile@239a7275,org.apache.commons.lang.<error>,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2085,org.apache.commons.lang.<error>,1.0
de.ugoe.cs.tcs.se.graph.SEFile@106c8cce,org.apache.commons.lang.<error>,1.0
de.ugoe.cs.tcs.se.graph.SEFile@688fef20,org.apache.commons.lang3.builder,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1203e2b3,org.apache.commons.lang3.builder,1.0
de.ugoe.cs.tcs.se.graph.SEFile@24f09fe5,org.apache.commons.lang3.builder,1.0
de.ugoe.cs.tcs.se.graph.SEFile@51dd4d00,org.apache.commons.lang.mutable,1.0
de.ugoe.cs.tcs.se.graph.SEFile@709dde1c,org.apache.commons.lang.mutable,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4873d0c4,org.apache.commons.lang.mutable,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7c4c0669,org.apache.commons.lang.reflect,1.0
de.ugoe.cs.tcs.se.graph.SEFile@b89503d,org.apache.commons.lang.reflect,1.0
de.ugoe.cs.tcs.se.graph.SEFile@c6c2c3f,org.apache.commons.lang.reflect,1.0
de.ugoe.cs.tcs.se.graph.SEFile@288e0c85,org.apache.commons.lang.reflect,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2df17823,org.apache.commons.lang.reflect,1.0
de.ugoe.cs.tcs.se.graph.SEFile@215983c8,org.apache.commons.lang.reflect,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4add6c8a,org.apache.commons.lang.reflect,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4adf7cc,org.apache.commons.lang.reflect,1.0
de.ugoe.cs.tcs.se.graph.SEFile@10c184b5,org.apache.commons.lang.reflect,0.9
