Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@635eba56,de.ugoe.cs.tcs.se.graph.SEFile@2ee6dbdf,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@635eba56,de.ugoe.cs.tcs.se.graph.SEFile@6ad19055,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2ee6dbdf,de.ugoe.cs.tcs.se.graph.SEFile@6ad19055,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2ee6dbdf,de.ugoe.cs.tcs.se.graph.SEFile@ce66b23,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2ee6dbdf,de.ugoe.cs.tcs.se.graph.SEFile@6329f7f1,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2ee6dbdf,de.ugoe.cs.tcs.se.graph.SEFile@645be424,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2ee6dbdf,de.ugoe.cs.tcs.se.graph.SEFile@743adea9,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ce66b23,de.ugoe.cs.tcs.se.graph.SEFile@635eba56,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ce66b23,de.ugoe.cs.tcs.se.graph.SEFile@6ad19055,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ce66b23,de.ugoe.cs.tcs.se.graph.SEFile@6329f7f1,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ce66b23,de.ugoe.cs.tcs.se.graph.SEFile@645be424,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ce66b23,de.ugoe.cs.tcs.se.graph.SEFile@743adea9,6.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@635eba56,de.ugoe.cs.tcs.se.graph.SEFile@6329f7f1,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@635eba56,de.ugoe.cs.tcs.se.graph.SEFile@645be424,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@635eba56,de.ugoe.cs.tcs.se.graph.SEFile@743adea9,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6ad19055,de.ugoe.cs.tcs.se.graph.SEFile@6329f7f1,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6ad19055,de.ugoe.cs.tcs.se.graph.SEFile@645be424,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6ad19055,de.ugoe.cs.tcs.se.graph.SEFile@743adea9,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6329f7f1,de.ugoe.cs.tcs.se.graph.SEFile@645be424,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6329f7f1,de.ugoe.cs.tcs.se.graph.SEFile@743adea9,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@645be424,de.ugoe.cs.tcs.se.graph.SEFile@743adea9,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6329f7f1,de.ugoe.cs.tcs.se.graph.SEFile@3db5b139,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6329f7f1,de.ugoe.cs.tcs.se.graph.SEFile@7347a33,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3db5b139,de.ugoe.cs.tcs.se.graph.SEFile@7347a33,3.0,Undirected
