Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@ce66b23,org.apache.commons.lang.math,1.0
de.ugoe.cs.tcs.se.graph.SEFile@635eba56,org.apache.commons.lang.math,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2ee6dbdf,org.apache.commons.lang.math,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6ad19055,org.apache.commons.lang.math,0.9
de.ugoe.cs.tcs.se.graph.SEFile@6329f7f1,org.apache.commons.lang3,1.0
de.ugoe.cs.tcs.se.graph.SEFile@645be424,org.apache.commons.lang3,0.9
de.ugoe.cs.tcs.se.graph.SEFile@743adea9,org.apache.commons.lang3,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7347a33,org.apache.commons.lang3.reflect,0.825
de.ugoe.cs.tcs.se.graph.SEFile@1e9cc365,org.apache.commons.lang3.time,1.0
de.ugoe.cs.tcs.se.graph.SEFile@69de7363,org.apache.commons.lang3.time,1.0
de.ugoe.cs.tcs.se.graph.SEFile@210fae54,org.apache.commons.lang.time,0.9
de.ugoe.cs.tcs.se.graph.SEFile@723e5ed4,org.apache.commons.lang.time,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5e9b527b,org.apache.commons.lang.time,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7a13bd65,org.apache.commons.lang.text,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1338510c,org.apache.commons.lang.text,1.0
de.ugoe.cs.tcs.se.graph.SEFile@552ab902,org.apache.commons.lang.text,1.0
de.ugoe.cs.tcs.se.graph.SEFile@381ad0d,org.apache.commons.lang.text,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1f5fa777,org.apache.commons.lang.text,1.0
de.ugoe.cs.tcs.se.graph.SEFile@423894f5,org.apache.commons.lang.text,0.9
de.ugoe.cs.tcs.se.graph.SEFile@508a8287,org.apache.commons.lang.text,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6770e455,org.apache.commons.lang.text,1.0
