Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@3ff758a2,de.ugoe.cs.tcs.se.graph.SEFile@1ee83a4d,10.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@113b9e8a,de.ugoe.cs.tcs.se.graph.SEFile@2a42cb08,8.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@113b9e8a,de.ugoe.cs.tcs.se.graph.SEFile@3ff758a2,10.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@113b9e8a,de.ugoe.cs.tcs.se.graph.SEFile@1ee83a4d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3ff758a2,de.ugoe.cs.tcs.se.graph.SEFile@2a42cb08,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2a42cb08,de.ugoe.cs.tcs.se.graph.SEFile@1ee83a4d,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3ff758a2,de.ugoe.cs.tcs.se.graph.SEFile@553241db,55.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@d5862db,de.ugoe.cs.tcs.se.graph.SEFile@3bfcc9f0,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@d5862db,de.ugoe.cs.tcs.se.graph.SEFile@113ca641,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@d5862db,de.ugoe.cs.tcs.se.graph.SEFile@2777f8f1,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3bfcc9f0,de.ugoe.cs.tcs.se.graph.SEFile@113ca641,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3bfcc9f0,de.ugoe.cs.tcs.se.graph.SEFile@2777f8f1,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@113ca641,de.ugoe.cs.tcs.se.graph.SEFile@2777f8f1,9.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@63df85a5,de.ugoe.cs.tcs.se.graph.SEFile@793e169f,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@63df85a5,de.ugoe.cs.tcs.se.graph.SEFile@70b88640,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@793e169f,de.ugoe.cs.tcs.se.graph.SEFile@70b88640,7.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6e0043ad,de.ugoe.cs.tcs.se.graph.SEFile@4d66225d,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6e0043ad,de.ugoe.cs.tcs.se.graph.SEFile@29d7082b,11.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6e0043ad,de.ugoe.cs.tcs.se.graph.SEFile@618dfbff,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6e0043ad,de.ugoe.cs.tcs.se.graph.SEFile@275d9f84,8.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6e0043ad,de.ugoe.cs.tcs.se.graph.SEFile@63ae0b0f,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6e0043ad,de.ugoe.cs.tcs.se.graph.SEFile@598e2a93,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6e0043ad,de.ugoe.cs.tcs.se.graph.SEFile@6ec364c5,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6e0043ad,de.ugoe.cs.tcs.se.graph.SEFile@31c0c32a,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d66225d,de.ugoe.cs.tcs.se.graph.SEFile@29d7082b,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d66225d,de.ugoe.cs.tcs.se.graph.SEFile@618dfbff,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d66225d,de.ugoe.cs.tcs.se.graph.SEFile@275d9f84,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d66225d,de.ugoe.cs.tcs.se.graph.SEFile@63ae0b0f,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d66225d,de.ugoe.cs.tcs.se.graph.SEFile@598e2a93,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d66225d,de.ugoe.cs.tcs.se.graph.SEFile@6ec364c5,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d66225d,de.ugoe.cs.tcs.se.graph.SEFile@31c0c32a,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@29d7082b,de.ugoe.cs.tcs.se.graph.SEFile@618dfbff,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@29d7082b,de.ugoe.cs.tcs.se.graph.SEFile@275d9f84,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@29d7082b,de.ugoe.cs.tcs.se.graph.SEFile@63ae0b0f,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@29d7082b,de.ugoe.cs.tcs.se.graph.SEFile@598e2a93,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@29d7082b,de.ugoe.cs.tcs.se.graph.SEFile@6ec364c5,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@29d7082b,de.ugoe.cs.tcs.se.graph.SEFile@31c0c32a,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@618dfbff,de.ugoe.cs.tcs.se.graph.SEFile@275d9f84,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@618dfbff,de.ugoe.cs.tcs.se.graph.SEFile@63ae0b0f,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@618dfbff,de.ugoe.cs.tcs.se.graph.SEFile@598e2a93,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@618dfbff,de.ugoe.cs.tcs.se.graph.SEFile@6ec364c5,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@618dfbff,de.ugoe.cs.tcs.se.graph.SEFile@31c0c32a,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@275d9f84,de.ugoe.cs.tcs.se.graph.SEFile@63ae0b0f,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@275d9f84,de.ugoe.cs.tcs.se.graph.SEFile@598e2a93,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@275d9f84,de.ugoe.cs.tcs.se.graph.SEFile@6ec364c5,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@275d9f84,de.ugoe.cs.tcs.se.graph.SEFile@31c0c32a,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@63ae0b0f,de.ugoe.cs.tcs.se.graph.SEFile@598e2a93,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@63ae0b0f,de.ugoe.cs.tcs.se.graph.SEFile@6ec364c5,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@63ae0b0f,de.ugoe.cs.tcs.se.graph.SEFile@31c0c32a,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@598e2a93,de.ugoe.cs.tcs.se.graph.SEFile@6ec364c5,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@598e2a93,de.ugoe.cs.tcs.se.graph.SEFile@31c0c32a,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6ec364c5,de.ugoe.cs.tcs.se.graph.SEFile@31c0c32a,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@750e36ec,de.ugoe.cs.tcs.se.graph.SEFile@642eeded,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@750e36ec,de.ugoe.cs.tcs.se.graph.SEFile@2838a4ea,7.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@642eeded,de.ugoe.cs.tcs.se.graph.SEFile@2838a4ea,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@750e36ec,de.ugoe.cs.tcs.se.graph.SEFile@3bfcc9f0,7.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7a479254,de.ugoe.cs.tcs.se.graph.SEFile@1e6ffa0f,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7a479254,de.ugoe.cs.tcs.se.graph.SEFile@3ff758a2,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1e6ffa0f,de.ugoe.cs.tcs.se.graph.SEFile@3ff758a2,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c44c941,de.ugoe.cs.tcs.se.graph.SEFile@793e169f,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c44c941,de.ugoe.cs.tcs.se.graph.SEFile@70b88640,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6ad25ac3,de.ugoe.cs.tcs.se.graph.SEFile@4423e0aa,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4423e0aa,de.ugoe.cs.tcs.se.graph.SEFile@676b2c1e,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@410f58be,de.ugoe.cs.tcs.se.graph.SEFile@2305b4c9,9.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@410f58be,de.ugoe.cs.tcs.se.graph.SEFile@74658987,11.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2305b4c9,de.ugoe.cs.tcs.se.graph.SEFile@74658987,13.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@274d9bb6,de.ugoe.cs.tcs.se.graph.SEFile@3230f21a,8.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@274d9bb6,de.ugoe.cs.tcs.se.graph.SEFile@7daf8aee,11.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3230f21a,de.ugoe.cs.tcs.se.graph.SEFile@7daf8aee,14.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4423e0aa,de.ugoe.cs.tcs.se.graph.SEFile@3c9bbebc,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4423e0aa,de.ugoe.cs.tcs.se.graph.SEFile@28b2ae00,2.0,Undirected
