Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@3ff758a2,org.apache.commons.lang3.reflect,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1ee83a4d,org.apache.commons.lang3.time,1.0
de.ugoe.cs.tcs.se.graph.SEFile@113b9e8a,org.apache.commons.lang.exception,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2a42cb08,org.apache.commons.lang3,1.0
de.ugoe.cs.tcs.se.graph.SEFile@553241db,org.apache.commons.lang.text,1.0
de.ugoe.cs.tcs.se.graph.SEFile@535a1dbb,org.apache.commons.lang3,0.9
de.ugoe.cs.tcs.se.graph.SEFile@642eeded,org.apache.commons.lang3.concurrent,1.0
de.ugoe.cs.tcs.se.graph.SEFile@d5862db,org.apache.commons.lang,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3bfcc9f0,org.apache.commons.lang3.builder,1.0
de.ugoe.cs.tcs.se.graph.SEFile@113ca641,org.apache.commons.lang.builder,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2777f8f1,org.apache.commons.lang3.time,1.0
de.ugoe.cs.tcs.se.graph.SEFile@63df85a5,org.apache.commons.lang3.reflect,1.0
de.ugoe.cs.tcs.se.graph.SEFile@793e169f,org.apache.commons.lang.reflect,1.0
de.ugoe.cs.tcs.se.graph.SEFile@70b88640,org.apache.commons.lang3.concurrent,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6ad25ac3,org.apache.commons.lang,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6e0043ad,org.apache.commons.lang,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4d66225d,org.apache.commons.lang3,1.0
de.ugoe.cs.tcs.se.graph.SEFile@29d7082b,org.apache.commons.lang3.time,1.0
de.ugoe.cs.tcs.se.graph.SEFile@618dfbff,org.apache.commons.lang,1.0
de.ugoe.cs.tcs.se.graph.SEFile@275d9f84,org.apache.commons.lang.math,1.0
de.ugoe.cs.tcs.se.graph.SEFile@63ae0b0f,org.apache.commons.lang.math,1.0
de.ugoe.cs.tcs.se.graph.SEFile@598e2a93,org.apache.commons.lang3.text,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6ec364c5,org.apache.commons.lang3.concurrent,1.0
de.ugoe.cs.tcs.se.graph.SEFile@31c0c32a,org.apache.commons.lang.reflect,1.0
de.ugoe.cs.tcs.se.graph.SEFile@750e36ec,org.apache.commons.lang,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2838a4ea,org.apache.commons.lang3,1.0
de.ugoe.cs.tcs.se.graph.SEFile@451f846b,org.apache.commons.lang.builder,1.0
de.ugoe.cs.tcs.se.graph.SEFile@58080dfe,org.apache.commons.lang3.concurrent,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7a479254,org.apache.commons.lang.builder,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1e6ffa0f,org.apache.commons.lang.builder,1.0
de.ugoe.cs.tcs.se.graph.SEFile@545c579,org.apache.commons.lang3.builder,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4c44c941,org.apache.commons.lang,1.0
de.ugoe.cs.tcs.se.graph.SEFile@74658987,org.apache.commons.lang.text,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2305b4c9,org.apache.commons.lang.time,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6fdd2ee4,org.apache.commons.lang.text,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2aa86f5b,org.apache.commons.lang.text,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4423e0aa,org.apache.commons.lang3.builder,1.0
de.ugoe.cs.tcs.se.graph.SEFile@410f58be,org.apache.commons.lang,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7eee6bc,org.apache.commons.lang.reflect,1.0
de.ugoe.cs.tcs.se.graph.SEFile@676b2c1e,org.apache.commons.lang,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1c3f168b,org.apache.commons.lang3.time,1.0
de.ugoe.cs.tcs.se.graph.SEFile@274d9bb6,org.apache.commons.lang.time,0.9
de.ugoe.cs.tcs.se.graph.SEFile@3230f21a,org.apache.commons.lang.time,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7daf8aee,org.apache.commons.lang.mutable,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3c9bbebc,org.apache.commons.lang.text,1.0
de.ugoe.cs.tcs.se.graph.SEFile@28b2ae00,org.apache.commons.lang.<error>,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2566a1f4,org.apache.commons.lang,1.0
de.ugoe.cs.tcs.se.graph.SEFile@241041de,org.apache.commons.lang3.concurrent,1.0
de.ugoe.cs.tcs.se.graph.SEFile@10c02851,org.apache.commons.lang,1.0
