Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@6afba1f5,de.ugoe.cs.tcs.se.graph.SEFile@5c92ed18,6.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6afba1f5,de.ugoe.cs.tcs.se.graph.SEFile@416028d1,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5c92ed18,de.ugoe.cs.tcs.se.graph.SEFile@416028d1,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6afba1f5,de.ugoe.cs.tcs.se.graph.SEFile@7990a7f0,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@d34c4a0,de.ugoe.cs.tcs.se.graph.SEFile@2e450f57,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@416028d1,de.ugoe.cs.tcs.se.graph.SEFile@62956e87,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@416028d1,de.ugoe.cs.tcs.se.graph.SEFile@46d099f0,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@416028d1,de.ugoe.cs.tcs.se.graph.SEFile@51b2423,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@416028d1,de.ugoe.cs.tcs.se.graph.SEFile@9c3ca1a,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@62956e87,de.ugoe.cs.tcs.se.graph.SEFile@46d099f0,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@62956e87,de.ugoe.cs.tcs.se.graph.SEFile@51b2423,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@62956e87,de.ugoe.cs.tcs.se.graph.SEFile@9c3ca1a,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@46d099f0,de.ugoe.cs.tcs.se.graph.SEFile@51b2423,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@46d099f0,de.ugoe.cs.tcs.se.graph.SEFile@9c3ca1a,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51b2423,de.ugoe.cs.tcs.se.graph.SEFile@9c3ca1a,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2709eb1a,de.ugoe.cs.tcs.se.graph.SEFile@6afba1f5,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2709eb1a,de.ugoe.cs.tcs.se.graph.SEFile@51b2423,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2709eb1a,de.ugoe.cs.tcs.se.graph.SEFile@46d099f0,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6afba1f5,de.ugoe.cs.tcs.se.graph.SEFile@51b2423,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6afba1f5,de.ugoe.cs.tcs.se.graph.SEFile@46d099f0,1.0,Undirected
