Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@4515b76e,de.ugoe.cs.tcs.se.graph.SEFile@7909b148,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@12fb7582,de.ugoe.cs.tcs.se.graph.SEFile@4b5541f4,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@12fb7582,de.ugoe.cs.tcs.se.graph.SEFile@1c3a8879,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4515b76e,de.ugoe.cs.tcs.se.graph.SEFile@471c62a5,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4515b76e,de.ugoe.cs.tcs.se.graph.SEFile@1d2bac7b,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@471c62a5,de.ugoe.cs.tcs.se.graph.SEFile@1d2bac7b,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7909b148,de.ugoe.cs.tcs.se.graph.SEFile@1d2bac7b,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6c24f62c,de.ugoe.cs.tcs.se.graph.SEFile@266f94d7,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6c24f62c,de.ugoe.cs.tcs.se.graph.SEFile@75bf2323,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@266f94d7,de.ugoe.cs.tcs.se.graph.SEFile@75bf2323,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2d96fa7c,de.ugoe.cs.tcs.se.graph.SEFile@4ef6e659,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@52dcac2a,de.ugoe.cs.tcs.se.graph.SEFile@51da8d5f,6.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@52dcac2a,de.ugoe.cs.tcs.se.graph.SEFile@58244903,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51da8d5f,de.ugoe.cs.tcs.se.graph.SEFile@58244903,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@52dcac2a,de.ugoe.cs.tcs.se.graph.SEFile@6c24f62c,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@52dcac2a,de.ugoe.cs.tcs.se.graph.SEFile@3e76b9bd,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@52dcac2a,de.ugoe.cs.tcs.se.graph.SEFile@75c8c09c,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@52dcac2a,de.ugoe.cs.tcs.se.graph.SEFile@638c706,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@52dcac2a,de.ugoe.cs.tcs.se.graph.SEFile@315ec8b2,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@52dcac2a,de.ugoe.cs.tcs.se.graph.SEFile@207a1874,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@52dcac2a,de.ugoe.cs.tcs.se.graph.SEFile@2079d49c,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@52dcac2a,de.ugoe.cs.tcs.se.graph.SEFile@54641250,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51da8d5f,de.ugoe.cs.tcs.se.graph.SEFile@3e76b9bd,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51da8d5f,de.ugoe.cs.tcs.se.graph.SEFile@75c8c09c,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51da8d5f,de.ugoe.cs.tcs.se.graph.SEFile@638c706,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51da8d5f,de.ugoe.cs.tcs.se.graph.SEFile@315ec8b2,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51da8d5f,de.ugoe.cs.tcs.se.graph.SEFile@207a1874,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51da8d5f,de.ugoe.cs.tcs.se.graph.SEFile@2079d49c,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51da8d5f,de.ugoe.cs.tcs.se.graph.SEFile@54641250,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3e76b9bd,de.ugoe.cs.tcs.se.graph.SEFile@75c8c09c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3e76b9bd,de.ugoe.cs.tcs.se.graph.SEFile@638c706,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3e76b9bd,de.ugoe.cs.tcs.se.graph.SEFile@315ec8b2,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3e76b9bd,de.ugoe.cs.tcs.se.graph.SEFile@207a1874,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3e76b9bd,de.ugoe.cs.tcs.se.graph.SEFile@2079d49c,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3e76b9bd,de.ugoe.cs.tcs.se.graph.SEFile@54641250,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75c8c09c,de.ugoe.cs.tcs.se.graph.SEFile@638c706,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75c8c09c,de.ugoe.cs.tcs.se.graph.SEFile@315ec8b2,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75c8c09c,de.ugoe.cs.tcs.se.graph.SEFile@207a1874,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75c8c09c,de.ugoe.cs.tcs.se.graph.SEFile@2079d49c,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75c8c09c,de.ugoe.cs.tcs.se.graph.SEFile@54641250,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@638c706,de.ugoe.cs.tcs.se.graph.SEFile@315ec8b2,4.0,Undirected
