Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@4515b76e,org.apache.deltaspike.jsf.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7909b148,org.apache.deltaspike.data.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@12fb7582,org.apache.deltaspike.data.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4b5541f4,org.apache.deltaspike.core.api,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6cfebcf3,org.apache.deltaspike.test.jsf,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1c3a8879,org.apache.deltaspike.data.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@471c62a5,org.apache.deltaspike.data.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1d2bac7b,org.apache.deltaspike.test.core,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6c24f62c,org.apache.deltaspike.test.jpa,1.0
de.ugoe.cs.tcs.se.graph.SEFile@266f94d7,org.apache.deltaspike.core.api,1.0
de.ugoe.cs.tcs.se.graph.SEFile@75bf2323,org.apache.deltaspike.test.testcontrol,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2d96fa7c,org.apache.deltaspike.test.jsf,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4ef6e659,org.apache.deltaspike.data.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@52dcac2a,org.apache.deltaspike.test.core,1.0
de.ugoe.cs.tcs.se.graph.SEFile@51da8d5f,org.apache.deltaspike.core.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@58244903,org.apache.deltaspike.test.jpa,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3e76b9bd,org.apache.deltaspike.test.jsf,0.9
de.ugoe.cs.tcs.se.graph.SEFile@75c8c09c,org.apache.deltaspike.test.core,1.0
de.ugoe.cs.tcs.se.graph.SEFile@638c706,org.apache.deltaspike.test.testcontrol,1.0
de.ugoe.cs.tcs.se.graph.SEFile@315ec8b2,org.apache.deltaspike.data.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@207a1874,org.apache.deltaspike.test.testcontrol,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2079d49c,org.apache.deltaspike.test.jsf,1.0
de.ugoe.cs.tcs.se.graph.SEFile@54641250,org.apache.deltaspike.test.jpa,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7303a04c,org.apache.deltaspike.data.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2dda90ba,org.apache.deltaspike.core.api,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1252bd8e,org.apache.deltaspike.core.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@622bcf1b,org.apache.deltaspike.test.jsf,1.0
de.ugoe.cs.tcs.se.graph.SEFile@72a4d470,org.apache.deltaspike.test.jpa,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3baf5c03,org.apache.deltaspike.test.jsf,1.0
de.ugoe.cs.tcs.se.graph.SEFile@77356487,org.apache.deltaspike.test.jsf,1.0
de.ugoe.cs.tcs.se.graph.SEFile@31bb4867,org.apache.deltaspike.core.api,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7f9cb465,org.apache.deltaspike.test.jpa,1.0
de.ugoe.cs.tcs.se.graph.SEFile@621a6d21,org.apache.deltaspike.test.core,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3851a759,org.apache.deltaspike.data.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7d84fd47,org.apache.deltaspike.core.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@16f02f0a,org.apache.deltaspike.core.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@48b4f815,org.apache.deltaspike.core.api,1.0
de.ugoe.cs.tcs.se.graph.SEFile@d2db61e,org.apache.deltaspike.core.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7a83f0b4,org.apache.deltaspike.test.core,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2c6cbf96,org.apache.deltaspike.core.impl,1.0
