Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@51433479,de.ugoe.cs.tcs.se.graph.SEFile@2fed0263,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51433479,de.ugoe.cs.tcs.se.graph.SEFile@7e962555,8.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2fed0263,de.ugoe.cs.tcs.se.graph.SEFile@7e962555,6.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51433479,de.ugoe.cs.tcs.se.graph.SEFile@1b6e1f34,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51433479,de.ugoe.cs.tcs.se.graph.SEFile@5d9317a6,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51433479,de.ugoe.cs.tcs.se.graph.SEFile@2641b9cc,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51433479,de.ugoe.cs.tcs.se.graph.SEFile@516cf2e9,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7e962555,de.ugoe.cs.tcs.se.graph.SEFile@1b6e1f34,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7e962555,de.ugoe.cs.tcs.se.graph.SEFile@5d9317a6,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7e962555,de.ugoe.cs.tcs.se.graph.SEFile@2641b9cc,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7e962555,de.ugoe.cs.tcs.se.graph.SEFile@516cf2e9,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1b6e1f34,de.ugoe.cs.tcs.se.graph.SEFile@5d9317a6,11.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1b6e1f34,de.ugoe.cs.tcs.se.graph.SEFile@2641b9cc,11.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1b6e1f34,de.ugoe.cs.tcs.se.graph.SEFile@516cf2e9,9.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5d9317a6,de.ugoe.cs.tcs.se.graph.SEFile@2641b9cc,8.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5d9317a6,de.ugoe.cs.tcs.se.graph.SEFile@516cf2e9,7.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2641b9cc,de.ugoe.cs.tcs.se.graph.SEFile@516cf2e9,8.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2fed0263,de.ugoe.cs.tcs.se.graph.SEFile@1b6e1f34,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2fed0263,de.ugoe.cs.tcs.se.graph.SEFile@2641b9cc,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2fed0263,de.ugoe.cs.tcs.se.graph.SEFile@7df48ed5,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2fed0263,de.ugoe.cs.tcs.se.graph.SEFile@765c19fc,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2fed0263,de.ugoe.cs.tcs.se.graph.SEFile@39774c1,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2fed0263,de.ugoe.cs.tcs.se.graph.SEFile@2261be79,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2fed0263,de.ugoe.cs.tcs.se.graph.SEFile@264360a9,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2fed0263,de.ugoe.cs.tcs.se.graph.SEFile@1b9f27d8,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1b6e1f34,de.ugoe.cs.tcs.se.graph.SEFile@7df48ed5,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1b6e1f34,de.ugoe.cs.tcs.se.graph.SEFile@765c19fc,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1b6e1f34,de.ugoe.cs.tcs.se.graph.SEFile@39774c1,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1b6e1f34,de.ugoe.cs.tcs.se.graph.SEFile@2261be79,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1b6e1f34,de.ugoe.cs.tcs.se.graph.SEFile@264360a9,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1b6e1f34,de.ugoe.cs.tcs.se.graph.SEFile@1b9f27d8,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51433479,de.ugoe.cs.tcs.se.graph.SEFile@7df48ed5,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51433479,de.ugoe.cs.tcs.se.graph.SEFile@765c19fc,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51433479,de.ugoe.cs.tcs.se.graph.SEFile@39774c1,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51433479,de.ugoe.cs.tcs.se.graph.SEFile@2261be79,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51433479,de.ugoe.cs.tcs.se.graph.SEFile@264360a9,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51433479,de.ugoe.cs.tcs.se.graph.SEFile@1b9f27d8,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7e962555,de.ugoe.cs.tcs.se.graph.SEFile@7df48ed5,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7e962555,de.ugoe.cs.tcs.se.graph.SEFile@765c19fc,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7e962555,de.ugoe.cs.tcs.se.graph.SEFile@39774c1,6.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7e962555,de.ugoe.cs.tcs.se.graph.SEFile@2261be79,9.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7e962555,de.ugoe.cs.tcs.se.graph.SEFile@264360a9,7.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7e962555,de.ugoe.cs.tcs.se.graph.SEFile@1b9f27d8,7.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2641b9cc,de.ugoe.cs.tcs.se.graph.SEFile@7df48ed5,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2641b9cc,de.ugoe.cs.tcs.se.graph.SEFile@765c19fc,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2641b9cc,de.ugoe.cs.tcs.se.graph.SEFile@39774c1,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2641b9cc,de.ugoe.cs.tcs.se.graph.SEFile@2261be79,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2641b9cc,de.ugoe.cs.tcs.se.graph.SEFile@264360a9,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2641b9cc,de.ugoe.cs.tcs.se.graph.SEFile@1b9f27d8,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7df48ed5,de.ugoe.cs.tcs.se.graph.SEFile@765c19fc,8.0,Undirected
