Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@5b040464,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@51fc6f14,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6f22ea90,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1796212e,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@c5f1660,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@c92e8f6,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@74a3ab50,org.apache.giraph.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@38597376,org.apache.giraph.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5ac67af8,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@386e8865,org.apache.giraph.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@115917f2,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7e1f02c9,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2478503,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@a9df89e,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2850be3d,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4025ed86,org.apache.giraph.graph,1.0
de.ugoe.cs.tcs.se.graph.SEFile@721a2dba,org.apache.giraph.graph,1.0
de.ugoe.cs.tcs.se.graph.SEFile@e3cfeb7,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@736b1130,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@50537893,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@700928e8,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4152538e,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1b9e4363,org.apache.giraph.examples,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1cb70d84,org.apache.giraph.examples,1.0
de.ugoe.cs.tcs.se.graph.SEFile@707f826f,org.apache.giraph.examples,1.0
de.ugoe.cs.tcs.se.graph.SEFile@22369eb6,org.apache.giraph.examples,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2d3d074c,org.apache.giraph.examples,1.0
de.ugoe.cs.tcs.se.graph.SEFile@28333020,org.apache.giraph.block_app,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5ddd90f1,org.apache.giraph.bsp,1.0
de.ugoe.cs.tcs.se.graph.SEFile@15a557ea,org.apache.giraph.bsp,1.0
de.ugoe.cs.tcs.se.graph.SEFile@129f1718,org.apache.giraph.bsp,1.0
de.ugoe.cs.tcs.se.graph.SEFile@269442af,org.apache.giraph.bsp,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4d2073e9,org.apache.giraph.bsp,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5a64f49c,org.apache.giraph.bsp,1.0
