Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@17d308ea,de.ugoe.cs.tcs.se.graph.SEFile@31bc4fa1,10.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@31bc4fa1,de.ugoe.cs.tcs.se.graph.SEFile@65fa662e,6.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@147e8ba2,de.ugoe.cs.tcs.se.graph.SEFile@4c57a26c,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@147e8ba2,de.ugoe.cs.tcs.se.graph.SEFile@65d52eaa,6.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@147e8ba2,de.ugoe.cs.tcs.se.graph.SEFile@234dd727,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@147e8ba2,de.ugoe.cs.tcs.se.graph.SEFile@17d308ea,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@147e8ba2,de.ugoe.cs.tcs.se.graph.SEFile@31bc4fa1,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c57a26c,de.ugoe.cs.tcs.se.graph.SEFile@65d52eaa,6.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c57a26c,de.ugoe.cs.tcs.se.graph.SEFile@234dd727,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c57a26c,de.ugoe.cs.tcs.se.graph.SEFile@17d308ea,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c57a26c,de.ugoe.cs.tcs.se.graph.SEFile@31bc4fa1,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65d52eaa,de.ugoe.cs.tcs.se.graph.SEFile@234dd727,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65d52eaa,de.ugoe.cs.tcs.se.graph.SEFile@17d308ea,19.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65d52eaa,de.ugoe.cs.tcs.se.graph.SEFile@31bc4fa1,10.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@234dd727,de.ugoe.cs.tcs.se.graph.SEFile@17d308ea,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@234dd727,de.ugoe.cs.tcs.se.graph.SEFile@31bc4fa1,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@189ffab3,de.ugoe.cs.tcs.se.graph.SEFile@147e8ba2,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@189ffab3,de.ugoe.cs.tcs.se.graph.SEFile@65d52eaa,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@189ffab3,de.ugoe.cs.tcs.se.graph.SEFile@234dd727,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@189ffab3,de.ugoe.cs.tcs.se.graph.SEFile@65234d1b,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@189ffab3,de.ugoe.cs.tcs.se.graph.SEFile@42e92081,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@189ffab3,de.ugoe.cs.tcs.se.graph.SEFile@33e75042,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@189ffab3,de.ugoe.cs.tcs.se.graph.SEFile@676f8b1d,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@147e8ba2,de.ugoe.cs.tcs.se.graph.SEFile@65234d1b,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@147e8ba2,de.ugoe.cs.tcs.se.graph.SEFile@42e92081,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@147e8ba2,de.ugoe.cs.tcs.se.graph.SEFile@33e75042,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@147e8ba2,de.ugoe.cs.tcs.se.graph.SEFile@676f8b1d,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65d52eaa,de.ugoe.cs.tcs.se.graph.SEFile@65234d1b,29.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65d52eaa,de.ugoe.cs.tcs.se.graph.SEFile@42e92081,14.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65d52eaa,de.ugoe.cs.tcs.se.graph.SEFile@33e75042,10.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65d52eaa,de.ugoe.cs.tcs.se.graph.SEFile@676f8b1d,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@234dd727,de.ugoe.cs.tcs.se.graph.SEFile@65234d1b,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@234dd727,de.ugoe.cs.tcs.se.graph.SEFile@42e92081,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@234dd727,de.ugoe.cs.tcs.se.graph.SEFile@33e75042,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@234dd727,de.ugoe.cs.tcs.se.graph.SEFile@676f8b1d,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65234d1b,de.ugoe.cs.tcs.se.graph.SEFile@42e92081,14.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65234d1b,de.ugoe.cs.tcs.se.graph.SEFile@33e75042,9.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65234d1b,de.ugoe.cs.tcs.se.graph.SEFile@676f8b1d,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@42e92081,de.ugoe.cs.tcs.se.graph.SEFile@33e75042,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@42e92081,de.ugoe.cs.tcs.se.graph.SEFile@676f8b1d,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@33e75042,de.ugoe.cs.tcs.se.graph.SEFile@676f8b1d,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65d52eaa,de.ugoe.cs.tcs.se.graph.SEFile@5a2a198e,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65234d1b,de.ugoe.cs.tcs.se.graph.SEFile@5a2a198e,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@42e92081,de.ugoe.cs.tcs.se.graph.SEFile@5a2a198e,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@676f8b1d,de.ugoe.cs.tcs.se.graph.SEFile@5a2a198e,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65fa662e,de.ugoe.cs.tcs.se.graph.SEFile@4fd9180d,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65d52eaa,de.ugoe.cs.tcs.se.graph.SEFile@65fa662e,18.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65d52eaa,de.ugoe.cs.tcs.se.graph.SEFile@4fd9180d,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65234d1b,de.ugoe.cs.tcs.se.graph.SEFile@65fa662e,15.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65234d1b,de.ugoe.cs.tcs.se.graph.SEFile@4fd9180d,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@33e75042,de.ugoe.cs.tcs.se.graph.SEFile@65fa662e,7.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@33e75042,de.ugoe.cs.tcs.se.graph.SEFile@4fd9180d,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@189ffab3,de.ugoe.cs.tcs.se.graph.SEFile@4c57a26c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@189ffab3,de.ugoe.cs.tcs.se.graph.SEFile@17d308ea,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@189ffab3,de.ugoe.cs.tcs.se.graph.SEFile@31bc4fa1,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@189ffab3,de.ugoe.cs.tcs.se.graph.SEFile@36d22f46,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@189ffab3,de.ugoe.cs.tcs.se.graph.SEFile@6bebcf0,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@189ffab3,de.ugoe.cs.tcs.se.graph.SEFile@5a2a198e,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@189ffab3,de.ugoe.cs.tcs.se.graph.SEFile@65fa662e,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@147e8ba2,de.ugoe.cs.tcs.se.graph.SEFile@36d22f46,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@147e8ba2,de.ugoe.cs.tcs.se.graph.SEFile@6bebcf0,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@147e8ba2,de.ugoe.cs.tcs.se.graph.SEFile@5a2a198e,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@147e8ba2,de.ugoe.cs.tcs.se.graph.SEFile@65fa662e,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c57a26c,de.ugoe.cs.tcs.se.graph.SEFile@65234d1b,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c57a26c,de.ugoe.cs.tcs.se.graph.SEFile@42e92081,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c57a26c,de.ugoe.cs.tcs.se.graph.SEFile@33e75042,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c57a26c,de.ugoe.cs.tcs.se.graph.SEFile@676f8b1d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c57a26c,de.ugoe.cs.tcs.se.graph.SEFile@36d22f46,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c57a26c,de.ugoe.cs.tcs.se.graph.SEFile@6bebcf0,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c57a26c,de.ugoe.cs.tcs.se.graph.SEFile@5a2a198e,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c57a26c,de.ugoe.cs.tcs.se.graph.SEFile@65fa662e,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65d52eaa,de.ugoe.cs.tcs.se.graph.SEFile@36d22f46,8.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65d52eaa,de.ugoe.cs.tcs.se.graph.SEFile@6bebcf0,5.0,Undirected
