Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@17d308ea,org.apache.giraph.worker,1.0
de.ugoe.cs.tcs.se.graph.SEFile@31bc4fa1,org.apache.giraph.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@65fa662e,com.yahoo.hadoop_bsp,1.0
de.ugoe.cs.tcs.se.graph.SEFile@65d52eaa,org.apache.giraph,1.0
de.ugoe.cs.tcs.se.graph.SEFile@147e8ba2,org.apache.giraph.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4c57a26c,com.yahoo.hadoop_bsp,1.0
de.ugoe.cs.tcs.se.graph.SEFile@234dd727,org.apache.giraph.writable,1.0
de.ugoe.cs.tcs.se.graph.SEFile@189ffab3,com.yahoo.hadoop_bsp,1.0
de.ugoe.cs.tcs.se.graph.SEFile@65234d1b,org.apache.giraph.io,0.98
de.ugoe.cs.tcs.se.graph.SEFile@42e92081,org.apache.giraph.examples,1.0
de.ugoe.cs.tcs.se.graph.SEFile@33e75042,org.apache.giraph.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@676f8b1d,org.apache.giraph.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5a2a198e,org.apache.giraph.graph,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4fd9180d,org.apache.giraph.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@36d22f46,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6bebcf0,com.yahoo.hadoop_bsp,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1b4ff62a,org.apache.giraph.block_app,1.0
de.ugoe.cs.tcs.se.graph.SEFile@26f28e46,org.apache.giraph.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@79e877ca,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7dbd0e81,org.apache.giraph.graph,1.0
de.ugoe.cs.tcs.se.graph.SEFile@30543adb,org.apache.giraph.conf,1.0
de.ugoe.cs.tcs.se.graph.SEFile@229aeb9a,org.apache.giraph.examples,1.0
de.ugoe.cs.tcs.se.graph.SEFile@24db3d87,org.apache.giraph.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@35c777df,org.apache.giraph.examples,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5fd73b75,org.apache.giraph.examples,1.0
de.ugoe.cs.tcs.se.graph.SEFile@50e9bbbf,org.apache.giraph.conf,1.0
de.ugoe.cs.tcs.se.graph.SEFile@70bc7f1,org.apache.giraph,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4136a2fd,org.apache.giraph.examples,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4439e292,org.apache.giraph.edge,1.0
de.ugoe.cs.tcs.se.graph.SEFile@76fabe23,org.apache.giraph,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3338723e,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@26e980d3,org.apache.giraph.examples,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4f0d52de,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1c9cce87,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5f775fb0,org.apache.giraph.aggregators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3e5772a2,org.apache.giraph.graph,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5403bd7d,org.apache.giraph.partition,1.0
de.ugoe.cs.tcs.se.graph.SEFile@132e3446,org.apache.giraph.examples,1.0
de.ugoe.cs.tcs.se.graph.SEFile@627ab50c,org.apache.giraph.partition,1.0
de.ugoe.cs.tcs.se.graph.SEFile@26e535cb,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@382f5f9e,org.apache.giraph,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1656d837,org.apache.giraph.graph,1.0
de.ugoe.cs.tcs.se.graph.SEFile@91d812a,org.apache.giraph.graph,1.0
de.ugoe.cs.tcs.se.graph.SEFile@275bfde5,org.apache.giraph.conf,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6ea9b650,org.apache.giraph.block_app,1.0
de.ugoe.cs.tcs.se.graph.SEFile@39baa523,org.apache.giraph.worker,1.0
de.ugoe.cs.tcs.se.graph.SEFile@14c1662d,org.apache.giraph.graph,1.0
de.ugoe.cs.tcs.se.graph.SEFile@63dd0758,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@57dddcc0,org.apache.giraph.graph,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6241c96d,org.apache.giraph.graph,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3032ccea,org.apache.giraph.graph,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5237675d,org.apache.giraph.graph,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3e5a4b37,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4477d1a0,org.apache.giraph.hive,1.0
de.ugoe.cs.tcs.se.graph.SEFile@79ae80e3,com.yahoo.hadoop_bsp,1.0
de.ugoe.cs.tcs.se.graph.SEFile@343c4ee6,org.apache.giraph.partition,1.0
de.ugoe.cs.tcs.se.graph.SEFile@a209597,org.apache.giraph.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@70943aa9,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4f105471,org.apache.giraph.examples,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4eb3554,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2f051250,org.apache.giraph.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@44c86007,org.apache.giraph.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@20fd45af,org.apache.giraph.block_app,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1be5fe41,org.apache.giraph.partition,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1c7b9727,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@67d10ccf,org.apache.giraph.aggregators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7a6cb021,org.apache.giraph.graph,1.0
de.ugoe.cs.tcs.se.graph.SEFile@51baf6da,org.apache.giraph.types,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2de5d463,org.apache.giraph.comm,1.0
