Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@6927888a,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@27c924fe,org.apache.gora.accumulo,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6777205a,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@c074bd6,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@14644b6f,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@f7bff27,org.apache.gora.avro,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6b48ee35,org.apache.gora.avro,0.9
de.ugoe.cs.tcs.se.graph.SEFile@7eed5232,org.apache.gora.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@14d790b9,org.apache.gora.persistency,1.0
de.ugoe.cs.tcs.se.graph.SEFile@581a422,org.apache.gora.hbase,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6aa54dae,org.apache.gora.query,1.0
de.ugoe.cs.tcs.se.graph.SEFile@206516b7,org.apache.gora.query,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6a4e5e62,org.apache.gora.store,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3d3b0527,org.apache.gora.aerospike,1.0
de.ugoe.cs.tcs.se.graph.SEFile@59ba3fc4,org.apache.gora.mongodb,1.0
de.ugoe.cs.tcs.se.graph.SEFile@46bbcdb8,org.apache.gora.ignite,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5f81500a,org.apache.gora.accumulo,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5f79e552,org.apache.gora.accumulo,1.0
de.ugoe.cs.tcs.se.graph.SEFile@66a5d6c6,org.apache.gora.hbase,1.0
de.ugoe.cs.tcs.se.graph.SEFile@287f049d,org.apache.gora.hbase,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3465a9ed,org.apache.gora.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@151cba90,org.apache.gora.aerospike,1.0
de.ugoe.cs.tcs.se.graph.SEFile@644b563e,org.apache.gora.hbase,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3036a7fc,org.apache.gora.accumulo,1.0
de.ugoe.cs.tcs.se.graph.SEFile@51f3d725,org.apache.gora.persistency,0.9
de.ugoe.cs.tcs.se.graph.SEFile@7a090319,org.apache.gora.mongodb,1.0
de.ugoe.cs.tcs.se.graph.SEFile@211e3e36,org.apache.gora.solr,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6a90d968,org.apache.gora.solr,0.9
de.ugoe.cs.tcs.se.graph.SEFile@7c1e38e9,org.apache.gora.persistency,1.0
de.ugoe.cs.tcs.se.graph.SEFile@65c585c1,org.apache.gora.persistency,0.9
de.ugoe.cs.tcs.se.graph.SEFile@27c8be51,org.apache.gora.mapreduce,0.9
de.ugoe.cs.tcs.se.graph.SEFile@54daa2a8,org.apache.gora.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3ee02c34,org.apache.gora.ignite,0.81
de.ugoe.cs.tcs.se.graph.SEFile@71c3cd14,org.apache.gora.aerospike,0.9
de.ugoe.cs.tcs.se.graph.SEFile@5dc2719b,org.apache.gora.cassandra,0.9
de.ugoe.cs.tcs.se.graph.SEFile@42685bdf,org.apache.gora.cassandra,0.98
de.ugoe.cs.tcs.se.graph.SEFile@575cea1d,org.apache.gora.hbase,0.9
