Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@33c3a004,com.ecyrd.jspwiki.util,0.825
de.ugoe.cs.tcs.se.graph.SEFile@1f0c4b80,com.ecyrd.jspwiki.dav,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1431fd7e,org.apache.wiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4eb1c15c,org.apache.wiki.plugin,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3755fee0,org.apache.wiki,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5305b10b,org.apache.wiki,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5cf2b032,org.apache.wiki.content,1.0
de.ugoe.cs.tcs.se.graph.SEFile@50f165ca,org.apache.wiki,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4a9bc099,com.ecyrd.jspwiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@65e77f57,org.apache.wiki.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@45d87ae7,org.apache.wiki.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7e806a60,org.apache.wiki.markdown,0.825
de.ugoe.cs.tcs.se.graph.SEFile@753615b5,com.ecyrd.jspwiki.ui,1.0
de.ugoe.cs.tcs.se.graph.SEFile@26e0e67b,org.apache.wiki.workflow,1.0
de.ugoe.cs.tcs.se.graph.SEFile@679980b0,org.apache.wiki.workflow,1.0
de.ugoe.cs.tcs.se.graph.SEFile@38af853c,com.ecyrd.jspwiki.plugin,1.0
de.ugoe.cs.tcs.se.graph.SEFile@20c05b68,org.apache.wiki.plugin,1.0
de.ugoe.cs.tcs.se.graph.SEFile@73615763,org.apache.wiki.content,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7b9e1dea,com.ecyrd.jspwiki.plugin,1.0
de.ugoe.cs.tcs.se.graph.SEFile@28167e7b,org.apache.wiki.filters,0.98
de.ugoe.cs.tcs.se.graph.SEFile@231ded6d,com.ecyrd.jspwiki.tags,1.0
de.ugoe.cs.tcs.se.graph.SEFile@52703d1c,org.apache.wiki,1.0
de.ugoe.cs.tcs.se.graph.SEFile@77d7fc43,org.apache.wiki.tags,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4e464327,org.apache.wiki.content,1.0
de.ugoe.cs.tcs.se.graph.SEFile@638edb6c,org.apache.wiki.util,0.9
de.ugoe.cs.tcs.se.graph.SEFile@77dd4ec9,org.apache.wiki.providers,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6880a5ee,org.apache.wiki.filters,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6e3ecc5a,org.apache.wiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7cb1e1b6,com.ecyrd.jspwiki.ui,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7665ac2d,org.apache.wiki.plugin,1.0
de.ugoe.cs.tcs.se.graph.SEFile@68fabcca,com.ecyrd.jspwiki.util,0.9
de.ugoe.cs.tcs.se.graph.SEFile@269ab96c,org.apache.wiki.action,1.0
de.ugoe.cs.tcs.se.graph.SEFile@40225575,org.apache.wiki.tags,0.9
de.ugoe.cs.tcs.se.graph.SEFile@19da29d5,org.apache.wiki,1.0
de.ugoe.cs.tcs.se.graph.SEFile@778ae7dc,com.ecyrd.jspwiki.tags,1.0
de.ugoe.cs.tcs.se.graph.SEFile@25600b1d,org.apache.wiki.tags,0.7938000000000001
de.ugoe.cs.tcs.se.graph.SEFile@5bd0d02,org.apache.wiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@674809f5,org.apache.wiki.tags,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6a792f2d,com.ecyrd.jspwiki.action,1.0
de.ugoe.cs.tcs.se.graph.SEFile@398b51b,com.ecyrd.jspwiki.action,1.0
de.ugoe.cs.tcs.se.graph.SEFile@43464e,org.apache.wiki.action,1.0
de.ugoe.cs.tcs.se.graph.SEFile@363c1e6f,org.apache.wiki.ui,1.0
de.ugoe.cs.tcs.se.graph.SEFile@64bfedfa,org.apache.wiki.providers,1.0
de.ugoe.cs.tcs.se.graph.SEFile@e0f6dd0,com.ecyrd.jspwiki.ui,0.98
de.ugoe.cs.tcs.se.graph.SEFile@2c618285,org.apache.wiki.auth,0.825
de.ugoe.cs.tcs.se.graph.SEFile@7dc3a7ee,org.apache.wiki.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@69fc3869,org.apache.wiki.plugin,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4ddc7944,com.ecyrd.jspwiki.ui,1.0
de.ugoe.cs.tcs.se.graph.SEFile@693a332b,com.ecyrd.jspwiki.ui,1.0
