Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@591c6371,de.ugoe.cs.tcs.se.graph.SEFile@17be86d,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@591c6371,de.ugoe.cs.tcs.se.graph.SEFile@1bccef63,10.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@591c6371,de.ugoe.cs.tcs.se.graph.SEFile@91c2d98,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@17be86d,de.ugoe.cs.tcs.se.graph.SEFile@1bccef63,7.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@17be86d,de.ugoe.cs.tcs.se.graph.SEFile@91c2d98,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1bccef63,de.ugoe.cs.tcs.se.graph.SEFile@91c2d98,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4702999e,de.ugoe.cs.tcs.se.graph.SEFile@54cff50f,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4bd49117,de.ugoe.cs.tcs.se.graph.SEFile@75f212d8,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4bd49117,de.ugoe.cs.tcs.se.graph.SEFile@4702999e,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4bd49117,de.ugoe.cs.tcs.se.graph.SEFile@699183e4,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4bd49117,de.ugoe.cs.tcs.se.graph.SEFile@591c6371,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4bd49117,de.ugoe.cs.tcs.se.graph.SEFile@44d7130b,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4bd49117,de.ugoe.cs.tcs.se.graph.SEFile@54cff50f,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4bd49117,de.ugoe.cs.tcs.se.graph.SEFile@17be86d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4bd49117,de.ugoe.cs.tcs.se.graph.SEFile@1bccef63,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4bd49117,de.ugoe.cs.tcs.se.graph.SEFile@686c9a7a,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75f212d8,de.ugoe.cs.tcs.se.graph.SEFile@4702999e,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75f212d8,de.ugoe.cs.tcs.se.graph.SEFile@699183e4,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75f212d8,de.ugoe.cs.tcs.se.graph.SEFile@591c6371,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75f212d8,de.ugoe.cs.tcs.se.graph.SEFile@44d7130b,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75f212d8,de.ugoe.cs.tcs.se.graph.SEFile@54cff50f,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75f212d8,de.ugoe.cs.tcs.se.graph.SEFile@17be86d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75f212d8,de.ugoe.cs.tcs.se.graph.SEFile@1bccef63,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75f212d8,de.ugoe.cs.tcs.se.graph.SEFile@686c9a7a,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4702999e,de.ugoe.cs.tcs.se.graph.SEFile@699183e4,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4702999e,de.ugoe.cs.tcs.se.graph.SEFile@591c6371,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4702999e,de.ugoe.cs.tcs.se.graph.SEFile@44d7130b,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4702999e,de.ugoe.cs.tcs.se.graph.SEFile@17be86d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4702999e,de.ugoe.cs.tcs.se.graph.SEFile@1bccef63,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4702999e,de.ugoe.cs.tcs.se.graph.SEFile@686c9a7a,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@699183e4,de.ugoe.cs.tcs.se.graph.SEFile@591c6371,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@699183e4,de.ugoe.cs.tcs.se.graph.SEFile@44d7130b,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@699183e4,de.ugoe.cs.tcs.se.graph.SEFile@54cff50f,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@699183e4,de.ugoe.cs.tcs.se.graph.SEFile@17be86d,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@699183e4,de.ugoe.cs.tcs.se.graph.SEFile@1bccef63,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@699183e4,de.ugoe.cs.tcs.se.graph.SEFile@686c9a7a,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@591c6371,de.ugoe.cs.tcs.se.graph.SEFile@44d7130b,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@591c6371,de.ugoe.cs.tcs.se.graph.SEFile@54cff50f,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@591c6371,de.ugoe.cs.tcs.se.graph.SEFile@686c9a7a,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@44d7130b,de.ugoe.cs.tcs.se.graph.SEFile@54cff50f,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@44d7130b,de.ugoe.cs.tcs.se.graph.SEFile@17be86d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@44d7130b,de.ugoe.cs.tcs.se.graph.SEFile@1bccef63,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@44d7130b,de.ugoe.cs.tcs.se.graph.SEFile@686c9a7a,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@54cff50f,de.ugoe.cs.tcs.se.graph.SEFile@17be86d,1.0,Undirected
