Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@591c6371,org.apache.wiki.workflow,1.0
de.ugoe.cs.tcs.se.graph.SEFile@17be86d,com.ecyrd.jspwiki.ui,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1bccef63,org.apache.wiki.tags,1.0
de.ugoe.cs.tcs.se.graph.SEFile@91c2d98,org.apache.wiki.filters,1.0
de.ugoe.cs.tcs.se.graph.SEFile@686c9a7a,org.apache.wiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@44d7130b,org.apache.wiki,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4702999e,org.apache.wiki.tags,1.0
de.ugoe.cs.tcs.se.graph.SEFile@54cff50f,com.ecyrd.jspwiki.ui,1.0
de.ugoe.cs.tcs.se.graph.SEFile@699183e4,com.ecyrd.jspwiki.plugin,1.0
de.ugoe.cs.tcs.se.graph.SEFile@75f212d8,org.apache.wiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4bd49117,com.ecyrd.jspwiki.workflow,1.0
de.ugoe.cs.tcs.se.graph.SEFile@547e69c7,org.apache.wiki.ui,1.0
de.ugoe.cs.tcs.se.graph.SEFile@53f6e4ec,org.apache.wiki.plugin,1.0
de.ugoe.cs.tcs.se.graph.SEFile@161bef68,com.ecyrd.jspwiki.dav,1.0
de.ugoe.cs.tcs.se.graph.SEFile@a4f902d,com.ecyrd.jspwiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2a1d883,com.ecyrd.jspwiki.tags,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7884e725,org.apache.wiki.content,1.0
de.ugoe.cs.tcs.se.graph.SEFile@43d19e6b,org.apache.wiki.plugin,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3a83dc9c,org.apache.wiki,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2c6f679e,org.apache.wiki.workflow,1.0
de.ugoe.cs.tcs.se.graph.SEFile@36b6fbbd,org.apache.wiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6c3494bb,com.ecyrd.jspwiki.ui,1.0
de.ugoe.cs.tcs.se.graph.SEFile@461cfada,com.ecyrd.jspwiki.ui,1.0
de.ugoe.cs.tcs.se.graph.SEFile@309d970a,com.ecyrd.jspwiki,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4a344612,org.apache.wiki.workflow,1.0
de.ugoe.cs.tcs.se.graph.SEFile@34167f90,org.apache.wiki.tags,1.0
de.ugoe.cs.tcs.se.graph.SEFile@49961c67,org.apache.wiki.ui,1.0
de.ugoe.cs.tcs.se.graph.SEFile@143b04a0,com.ecyrd.jspwiki.action,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2fb51623,org.apache.wiki.markdown,1.0
de.ugoe.cs.tcs.se.graph.SEFile@84cff0c,org.apache.wiki.action,1.0
de.ugoe.cs.tcs.se.graph.SEFile@244ef4e1,org.apache.wiki,1.0
de.ugoe.cs.tcs.se.graph.SEFile@542031d5,com.ecyrd.jspwiki.auth,1.0
