Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@546697b5,org.apache.nutch.api,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5e9efcc5,org.apache.nutch.api,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7b279e8b,org.apache.nutch.api,1.0
de.ugoe.cs.tcs.se.graph.SEFile@31cb8d5,org.apache.nutch.api,1.0
de.ugoe.cs.tcs.se.graph.SEFile@44f0943f,org.apache.nutch.crawl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@38750237,org.apache.nutch.crawl,0.9
de.ugoe.cs.tcs.se.graph.SEFile@59652648,org.apache.nutch.crawl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@202f257a,org.apache.nutch.crawl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@186ffbea,org.apache.nutch.plugin,1.0
de.ugoe.cs.tcs.se.graph.SEFile@379e6969,org.apache.nutch.plugin,0.825
de.ugoe.cs.tcs.se.graph.SEFile@e17dda3,org.apache.nutch.indexer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3ab71391,org.apache.nutch.indexer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7aabdde7,org.apache.nutch.indexer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@c3516bf,org.apache.nutch.indexer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1910af9a,org.apache.nutch.webapp,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1723e7e3,org.apache.nutch.webapp,1.0
de.ugoe.cs.tcs.se.graph.SEFile@16a42264,org.apache.nutch.webapp,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3f681d89,org.apache.nutch.webapp,1.0
de.ugoe.cs.tcs.se.graph.SEFile@659d1126,org.apache.nutch.tools,0.9
de.ugoe.cs.tcs.se.graph.SEFile@39a6d400,org.apache.nutch.tools,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4238a143,org.apache.nutch.protocol,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6e06e0b3,org.apache.nutch.protocol,1.0
de.ugoe.cs.tcs.se.graph.SEFile@75f40888,org.apache.nutch.parse,0.9
de.ugoe.cs.tcs.se.graph.SEFile@9eba69,org.apache.nutch.parse,1.0
de.ugoe.cs.tcs.se.graph.SEFile@9553c4a,org.apache.nutch.parse,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6b2cf283,org.apache.nutch.parse,1.0
de.ugoe.cs.tcs.se.graph.SEFile@11a955c4,org.apache.nutch.parse,0.9
de.ugoe.cs.tcs.se.graph.SEFile@21c3ecf2,org.apache.nutch.parse,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2ba88e87,org.apache.nutch.indexer,0.882
de.ugoe.cs.tcs.se.graph.SEFile@37d8912d,org.apache.nutch.indexer,0.81
de.ugoe.cs.tcs.se.graph.SEFile@53bbc5ef,org.apache.nutch.crawl,0.71442
de.ugoe.cs.tcs.se.graph.SEFile@ae72551,org.apache.nutch.crawl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5bdcb11,org.apache.nutch.crawl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1b059773,org.apache.nutch.net,1.0
de.ugoe.cs.tcs.se.graph.SEFile@165b3dbe,org.apache.nutch.net,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1e2c825e,org.apache.nutch.net,1.0
