Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@35482a13,de.ugoe.cs.tcs.se.graph.SEFile@71168d8a,9.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@35482a13,de.ugoe.cs.tcs.se.graph.SEFile@3480844a,7.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@71168d8a,de.ugoe.cs.tcs.se.graph.SEFile@3480844a,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@35482a13,de.ugoe.cs.tcs.se.graph.SEFile@180a97eb,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3480844a,de.ugoe.cs.tcs.se.graph.SEFile@180a97eb,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@180a97eb,de.ugoe.cs.tcs.se.graph.SEFile@71168d8a,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@71168d8a,de.ugoe.cs.tcs.se.graph.SEFile@6b79234a,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@71168d8a,de.ugoe.cs.tcs.se.graph.SEFile@8f949dd,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@71168d8a,de.ugoe.cs.tcs.se.graph.SEFile@3911b4e5,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@71168d8a,de.ugoe.cs.tcs.se.graph.SEFile@37389706,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@180a97eb,de.ugoe.cs.tcs.se.graph.SEFile@6b79234a,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@180a97eb,de.ugoe.cs.tcs.se.graph.SEFile@8f949dd,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@180a97eb,de.ugoe.cs.tcs.se.graph.SEFile@3911b4e5,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@180a97eb,de.ugoe.cs.tcs.se.graph.SEFile@37389706,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@35482a13,de.ugoe.cs.tcs.se.graph.SEFile@6b79234a,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@35482a13,de.ugoe.cs.tcs.se.graph.SEFile@8f949dd,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@35482a13,de.ugoe.cs.tcs.se.graph.SEFile@3911b4e5,3.0,Undirected
