Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@35482a13,org.apache.nutch.protocol,1.0
de.ugoe.cs.tcs.se.graph.SEFile@71168d8a,org.apache.nutch.protocol,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3480844a,org.apache.nutch.protocol,1.0
de.ugoe.cs.tcs.se.graph.SEFile@180a97eb,org.apache.nutch.searcher,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6b79234a,org.apache.nutch.crawl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@8f949dd,org.apache.nutch.crawl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3911b4e5,org.apache.nutch.crawl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@37389706,org.apache.nutch.crawl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1c3de228,org.apache.nutch.segment,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1058a510,org.apache.nutch.segment,1.0
de.ugoe.cs.tcs.se.graph.SEFile@46bb37d,org.apache.nutch.segment,1.0
de.ugoe.cs.tcs.se.graph.SEFile@842db12,org.apache.nutch.segment,1.0
de.ugoe.cs.tcs.se.graph.SEFile@54c257e4,org.apache.nutch.fetcher,1.0
de.ugoe.cs.tcs.se.graph.SEFile@21d1deb4,org.apache.nutch.fetcher,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5b84aeae,org.apache.nutch.indexwriter,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3ac09379,org.apache.nutch.indexwriter,0.9
de.ugoe.cs.tcs.se.graph.SEFile@1737f0ca,org.apache.nutch.protocol,1.0
de.ugoe.cs.tcs.se.graph.SEFile@764a240c,org.apache.nutch.protocol,1.0
de.ugoe.cs.tcs.se.graph.SEFile@273baed4,org.apache.nutch.indexer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5ddbd47e,org.apache.nutch.indexer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@797d1366,org.apache.nutch.parse,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1374b925,org.apache.nutch.net,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4774b93b,org.apache.nutch.net,1.0
de.ugoe.cs.tcs.se.graph.SEFile@59dd4a31,org.apache.nutch.tools,1.0
de.ugoe.cs.tcs.se.graph.SEFile@36833113,org.apache.nutch.tools,1.0
de.ugoe.cs.tcs.se.graph.SEFile@299a2a48,org.apache.nutch.crawl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@79b92fa4,org.apache.nutch.crawl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@30c1e474,org.apache.nutch.parse,1.0
de.ugoe.cs.tcs.se.graph.SEFile@384f11a3,org.apache.nutch.parse,1.0
de.ugoe.cs.tcs.se.graph.SEFile@ef4632d,org.apache.nutch.parse,1.0
de.ugoe.cs.tcs.se.graph.SEFile@138c2bbe,org.apache.nutch.parse,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4183f1ca,org.apache.nutch.parse,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1759e017,org.apache.nutch.parse,1.0
de.ugoe.cs.tcs.se.graph.SEFile@74e2f495,org.apache.nutch.parse,0.825
de.ugoe.cs.tcs.se.graph.SEFile@20a957ae,org.apache.nutch.parse,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1245518e,org.apache.nutch.parse,1.0
de.ugoe.cs.tcs.se.graph.SEFile@175b59dd,org.apache.nutch.parse,1.0
de.ugoe.cs.tcs.se.graph.SEFile@49bfea97,org.apache.nutch.service,1.0
de.ugoe.cs.tcs.se.graph.SEFile@56701617,org.apache.nutch.net,1.0
