Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@255cfd51,de.ugoe.cs.tcs.se.graph.SEFile@47741b8b,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5d2a3adf,de.ugoe.cs.tcs.se.graph.SEFile@3942f1b6,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5d2a3adf,de.ugoe.cs.tcs.se.graph.SEFile@21f11466,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5d2a3adf,de.ugoe.cs.tcs.se.graph.SEFile@255cfd51,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5d2a3adf,de.ugoe.cs.tcs.se.graph.SEFile@74721458,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5d2a3adf,de.ugoe.cs.tcs.se.graph.SEFile@79526e2d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5d2a3adf,de.ugoe.cs.tcs.se.graph.SEFile@47741b8b,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3942f1b6,de.ugoe.cs.tcs.se.graph.SEFile@21f11466,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3942f1b6,de.ugoe.cs.tcs.se.graph.SEFile@255cfd51,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3942f1b6,de.ugoe.cs.tcs.se.graph.SEFile@74721458,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3942f1b6,de.ugoe.cs.tcs.se.graph.SEFile@79526e2d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3942f1b6,de.ugoe.cs.tcs.se.graph.SEFile@47741b8b,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@21f11466,de.ugoe.cs.tcs.se.graph.SEFile@255cfd51,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@21f11466,de.ugoe.cs.tcs.se.graph.SEFile@74721458,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@21f11466,de.ugoe.cs.tcs.se.graph.SEFile@79526e2d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@21f11466,de.ugoe.cs.tcs.se.graph.SEFile@47741b8b,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@255cfd51,de.ugoe.cs.tcs.se.graph.SEFile@74721458,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@255cfd51,de.ugoe.cs.tcs.se.graph.SEFile@79526e2d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@74721458,de.ugoe.cs.tcs.se.graph.SEFile@79526e2d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@74721458,de.ugoe.cs.tcs.se.graph.SEFile@47741b8b,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@79526e2d,de.ugoe.cs.tcs.se.graph.SEFile@47741b8b,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5600e84c,de.ugoe.cs.tcs.se.graph.SEFile@1faf0932,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5600e84c,de.ugoe.cs.tcs.se.graph.SEFile@63a312cb,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1faf0932,de.ugoe.cs.tcs.se.graph.SEFile@63a312cb,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7703c1dc,de.ugoe.cs.tcs.se.graph.SEFile@53c0675f,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1dd5cf6f,de.ugoe.cs.tcs.se.graph.SEFile@692277f,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1dd5cf6f,de.ugoe.cs.tcs.se.graph.SEFile@679b9976,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@692277f,de.ugoe.cs.tcs.se.graph.SEFile@679b9976,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7f5accd2,de.ugoe.cs.tcs.se.graph.SEFile@55e3ff99,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4e95a482,de.ugoe.cs.tcs.se.graph.SEFile@5ba764b1,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4e95a482,de.ugoe.cs.tcs.se.graph.SEFile@51fd2af2,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4e95a482,de.ugoe.cs.tcs.se.graph.SEFile@6a0746f7,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4e95a482,de.ugoe.cs.tcs.se.graph.SEFile@d7aeced,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4e95a482,de.ugoe.cs.tcs.se.graph.SEFile@4b374918,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4e95a482,de.ugoe.cs.tcs.se.graph.SEFile@5c7ce6d0,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4e95a482,de.ugoe.cs.tcs.se.graph.SEFile@6af1f21e,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4e95a482,de.ugoe.cs.tcs.se.graph.SEFile@4e03ca37,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4e95a482,de.ugoe.cs.tcs.se.graph.SEFile@7f5accd2,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5ba764b1,de.ugoe.cs.tcs.se.graph.SEFile@51fd2af2,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5ba764b1,de.ugoe.cs.tcs.se.graph.SEFile@6a0746f7,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5ba764b1,de.ugoe.cs.tcs.se.graph.SEFile@d7aeced,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5ba764b1,de.ugoe.cs.tcs.se.graph.SEFile@4b374918,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5ba764b1,de.ugoe.cs.tcs.se.graph.SEFile@5c7ce6d0,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5ba764b1,de.ugoe.cs.tcs.se.graph.SEFile@6af1f21e,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5ba764b1,de.ugoe.cs.tcs.se.graph.SEFile@4e03ca37,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5ba764b1,de.ugoe.cs.tcs.se.graph.SEFile@7f5accd2,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51fd2af2,de.ugoe.cs.tcs.se.graph.SEFile@6a0746f7,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51fd2af2,de.ugoe.cs.tcs.se.graph.SEFile@d7aeced,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51fd2af2,de.ugoe.cs.tcs.se.graph.SEFile@4b374918,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51fd2af2,de.ugoe.cs.tcs.se.graph.SEFile@5c7ce6d0,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51fd2af2,de.ugoe.cs.tcs.se.graph.SEFile@6af1f21e,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51fd2af2,de.ugoe.cs.tcs.se.graph.SEFile@4e03ca37,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51fd2af2,de.ugoe.cs.tcs.se.graph.SEFile@7f5accd2,1.0,Undirected
