Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@255cfd51,org.apache.nutch.indexer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@47741b8b,org.apache.nutch.parse,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5d2a3adf,org.apache.nutch.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3942f1b6,org.apache.nutch.crawl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@21f11466,org.apache.nutch.searcher,1.0
de.ugoe.cs.tcs.se.graph.SEFile@74721458,org.apache.nutch.protocol,1.0
de.ugoe.cs.tcs.se.graph.SEFile@79526e2d,org.apache.nutch.webapp,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5bbc177e,org.apache.nutch.indexwriter,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5600e84c,org.apache.nutch.indexer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1faf0932,org.apache.nutch.api,1.0
de.ugoe.cs.tcs.se.graph.SEFile@63a312cb,org.apache.nutch.crawl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1dd5cf6f,org.apache.nutch.mapred,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4e03ca37,org.apache.nutch.service,1.0
de.ugoe.cs.tcs.se.graph.SEFile@454c7116,org.apache.nutch.indexer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5d5f217f,org.apache.nutch.crawl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@633dc15e,org.apache.nutch.fetcher,1.0
de.ugoe.cs.tcs.se.graph.SEFile@242051d2,org.apache.nutch.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@746d3ad4,org.apache.nutch.indexer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4e95a482,org.apache.nutch.api,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7703c1dc,org.apache.nutch.indexer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@53c0675f,org.apache.nutch.net,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5c7ce6d0,org.apache.nutch.tools,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4b374918,org.apache.nutch.indexer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@692277f,org.apache.nutch.webapp,1.0
de.ugoe.cs.tcs.se.graph.SEFile@679b9976,org.apache.nutch.indexer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7b033f7,org.apache.nutch.indexwriter,1.0
de.ugoe.cs.tcs.se.graph.SEFile@12b0982,org.apache.nutch.parse,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4beedeb6,org.apache.nutch.webapp,1.0
de.ugoe.cs.tcs.se.graph.SEFile@a89521,org.apache.nutch.tools,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7f5accd2,org.apache.nutch.service,1.0
de.ugoe.cs.tcs.se.graph.SEFile@55e3ff99,org.apache.nutch.tools,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5ba764b1,org.apache.nutch.parse,1.0
de.ugoe.cs.tcs.se.graph.SEFile@51fd2af2,org.apache.nutch.analysis,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6a0746f7,org.apache.nutch.crawl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@d7aeced,org.apache.nutch.clustering,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6af1f21e,org.apache.nutch.net,1.0
de.ugoe.cs.tcs.se.graph.SEFile@292a16cf,org.apache.nutch.indexer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@29fb6fa,org.apache.nutch.api,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3b3a503e,org.apache.nutch.service,1.0
