Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@6585ce7,de.ugoe.cs.tcs.se.graph.SEFile@ca03797,11.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6585ce7,de.ugoe.cs.tcs.se.graph.SEFile@d596ad0,12.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6585ce7,de.ugoe.cs.tcs.se.graph.SEFile@75b0b879,6.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ca03797,de.ugoe.cs.tcs.se.graph.SEFile@d596ad0,9.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ca03797,de.ugoe.cs.tcs.se.graph.SEFile@75b0b879,8.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@d596ad0,de.ugoe.cs.tcs.se.graph.SEFile@75b0b879,7.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ca03797,de.ugoe.cs.tcs.se.graph.SEFile@53b185e0,6.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@d596ad0,de.ugoe.cs.tcs.se.graph.SEFile@53b185e0,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75b0b879,de.ugoe.cs.tcs.se.graph.SEFile@53b185e0,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6585ce7,de.ugoe.cs.tcs.se.graph.SEFile@53b185e0,8.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6585ce7,de.ugoe.cs.tcs.se.graph.SEFile@2068857d,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6585ce7,de.ugoe.cs.tcs.se.graph.SEFile@7d1bfb68,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2068857d,de.ugoe.cs.tcs.se.graph.SEFile@7d1bfb68,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75b0b879,de.ugoe.cs.tcs.se.graph.SEFile@7d1bfb68,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75b0b879,de.ugoe.cs.tcs.se.graph.SEFile@72441209,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75b0b879,de.ugoe.cs.tcs.se.graph.SEFile@43446753,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ca03797,de.ugoe.cs.tcs.se.graph.SEFile@7d1bfb68,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ca03797,de.ugoe.cs.tcs.se.graph.SEFile@72441209,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ca03797,de.ugoe.cs.tcs.se.graph.SEFile@43446753,6.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6585ce7,de.ugoe.cs.tcs.se.graph.SEFile@72441209,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6585ce7,de.ugoe.cs.tcs.se.graph.SEFile@43446753,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7d1bfb68,de.ugoe.cs.tcs.se.graph.SEFile@72441209,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7d1bfb68,de.ugoe.cs.tcs.se.graph.SEFile@43446753,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@72441209,de.ugoe.cs.tcs.se.graph.SEFile@43446753,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2068857d,de.ugoe.cs.tcs.se.graph.SEFile@75b0b879,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2068857d,de.ugoe.cs.tcs.se.graph.SEFile@ca03797,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2068857d,de.ugoe.cs.tcs.se.graph.SEFile@53b185e0,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2068857d,de.ugoe.cs.tcs.se.graph.SEFile@d596ad0,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7d1bfb68,de.ugoe.cs.tcs.se.graph.SEFile@53b185e0,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7d1bfb68,de.ugoe.cs.tcs.se.graph.SEFile@d596ad0,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2068857d,de.ugoe.cs.tcs.se.graph.SEFile@72441209,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@43446753,de.ugoe.cs.tcs.se.graph.SEFile@53b185e0,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6585ce7,de.ugoe.cs.tcs.se.graph.SEFile@7ca40b69,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6585ce7,de.ugoe.cs.tcs.se.graph.SEFile@6caf7a95,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@53b185e0,de.ugoe.cs.tcs.se.graph.SEFile@7ca40b69,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@53b185e0,de.ugoe.cs.tcs.se.graph.SEFile@6caf7a95,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@d596ad0,de.ugoe.cs.tcs.se.graph.SEFile@43446753,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@d596ad0,de.ugoe.cs.tcs.se.graph.SEFile@7ca40b69,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@d596ad0,de.ugoe.cs.tcs.se.graph.SEFile@6caf7a95,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@43446753,de.ugoe.cs.tcs.se.graph.SEFile@2068857d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@43446753,de.ugoe.cs.tcs.se.graph.SEFile@7ca40b69,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@43446753,de.ugoe.cs.tcs.se.graph.SEFile@6caf7a95,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2068857d,de.ugoe.cs.tcs.se.graph.SEFile@7ca40b69,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2068857d,de.ugoe.cs.tcs.se.graph.SEFile@6caf7a95,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7d1bfb68,de.ugoe.cs.tcs.se.graph.SEFile@7ca40b69,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7d1bfb68,de.ugoe.cs.tcs.se.graph.SEFile@6caf7a95,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ca03797,de.ugoe.cs.tcs.se.graph.SEFile@7ca40b69,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ca03797,de.ugoe.cs.tcs.se.graph.SEFile@6caf7a95,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7ca40b69,de.ugoe.cs.tcs.se.graph.SEFile@6caf7a95,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@d596ad0,de.ugoe.cs.tcs.se.graph.SEFile@921e1bb,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6585ce7,de.ugoe.cs.tcs.se.graph.SEFile@340005a0,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6585ce7,de.ugoe.cs.tcs.se.graph.SEFile@1e3c1697,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6caf7a95,de.ugoe.cs.tcs.se.graph.SEFile@340005a0,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6caf7a95,de.ugoe.cs.tcs.se.graph.SEFile@1e3c1697,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@d596ad0,de.ugoe.cs.tcs.se.graph.SEFile@340005a0,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@d596ad0,de.ugoe.cs.tcs.se.graph.SEFile@1e3c1697,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@340005a0,de.ugoe.cs.tcs.se.graph.SEFile@1e3c1697,7.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1e3c1697,de.ugoe.cs.tcs.se.graph.SEFile@7ca40b69,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1e3c1697,de.ugoe.cs.tcs.se.graph.SEFile@72441209,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7ca40b69,de.ugoe.cs.tcs.se.graph.SEFile@72441209,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@43446753,de.ugoe.cs.tcs.se.graph.SEFile@1e3c1697,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6caf7a95,de.ugoe.cs.tcs.se.graph.SEFile@921e1bb,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@921e1bb,de.ugoe.cs.tcs.se.graph.SEFile@1e3c1697,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@921e1bb,de.ugoe.cs.tcs.se.graph.SEFile@7ca40b69,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@921e1bb,de.ugoe.cs.tcs.se.graph.SEFile@340005a0,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@921e1bb,de.ugoe.cs.tcs.se.graph.SEFile@ca03797,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@921e1bb,de.ugoe.cs.tcs.se.graph.SEFile@2068857d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1e3c1697,de.ugoe.cs.tcs.se.graph.SEFile@ca03797,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1e3c1697,de.ugoe.cs.tcs.se.graph.SEFile@2068857d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7ca40b69,de.ugoe.cs.tcs.se.graph.SEFile@340005a0,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@340005a0,de.ugoe.cs.tcs.se.graph.SEFile@ca03797,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@340005a0,de.ugoe.cs.tcs.se.graph.SEFile@2068857d,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@d596ad0,de.ugoe.cs.tcs.se.graph.SEFile@2aeb4a40,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@d596ad0,de.ugoe.cs.tcs.se.graph.SEFile@336e946e,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6585ce7,de.ugoe.cs.tcs.se.graph.SEFile@2aeb4a40,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6585ce7,de.ugoe.cs.tcs.se.graph.SEFile@336e946e,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1e3c1697,de.ugoe.cs.tcs.se.graph.SEFile@2aeb4a40,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1e3c1697,de.ugoe.cs.tcs.se.graph.SEFile@336e946e,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ca03797,de.ugoe.cs.tcs.se.graph.SEFile@2aeb4a40,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ca03797,de.ugoe.cs.tcs.se.graph.SEFile@336e946e,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2aeb4a40,de.ugoe.cs.tcs.se.graph.SEFile@336e946e,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6585ce7,de.ugoe.cs.tcs.se.graph.SEFile@921e1bb,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75b0b879,de.ugoe.cs.tcs.se.graph.SEFile@340005a0,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75b0b879,de.ugoe.cs.tcs.se.graph.SEFile@2aeb4a40,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@340005a0,de.ugoe.cs.tcs.se.graph.SEFile@2aeb4a40,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6caf7a95,de.ugoe.cs.tcs.se.graph.SEFile@1aeb1c8a,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6caf7a95,de.ugoe.cs.tcs.se.graph.SEFile@2f8f85ab,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1aeb1c8a,de.ugoe.cs.tcs.se.graph.SEFile@2f8f85ab,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@43446753,de.ugoe.cs.tcs.se.graph.SEFile@921e1bb,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7d1bfb68,de.ugoe.cs.tcs.se.graph.SEFile@340005a0,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@340005a0,de.ugoe.cs.tcs.se.graph.SEFile@72441209,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@43446753,de.ugoe.cs.tcs.se.graph.SEFile@340005a0,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@43446753,de.ugoe.cs.tcs.se.graph.SEFile@2f8f85ab,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6585ce7,de.ugoe.cs.tcs.se.graph.SEFile@2f8f85ab,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1e3c1697,de.ugoe.cs.tcs.se.graph.SEFile@2f8f85ab,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1e3c1697,de.ugoe.cs.tcs.se.graph.SEFile@53b185e0,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@340005a0,de.ugoe.cs.tcs.se.graph.SEFile@2f8f85ab,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@340005a0,de.ugoe.cs.tcs.se.graph.SEFile@53b185e0,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@921e1bb,de.ugoe.cs.tcs.se.graph.SEFile@2f8f85ab,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@921e1bb,de.ugoe.cs.tcs.se.graph.SEFile@53b185e0,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2f8f85ab,de.ugoe.cs.tcs.se.graph.SEFile@53b185e0,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75b0b879,de.ugoe.cs.tcs.se.graph.SEFile@6caf7a95,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75b0b879,de.ugoe.cs.tcs.se.graph.SEFile@2993a339,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75b0b879,de.ugoe.cs.tcs.se.graph.SEFile@4239a7bd,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75b0b879,de.ugoe.cs.tcs.se.graph.SEFile@7c5dd4f1,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@75b0b879,de.ugoe.cs.tcs.se.graph.SEFile@22f2aaca,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6caf7a95,de.ugoe.cs.tcs.se.graph.SEFile@2993a339,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6caf7a95,de.ugoe.cs.tcs.se.graph.SEFile@4239a7bd,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6caf7a95,de.ugoe.cs.tcs.se.graph.SEFile@7c5dd4f1,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6caf7a95,de.ugoe.cs.tcs.se.graph.SEFile@22f2aaca,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@43446753,de.ugoe.cs.tcs.se.graph.SEFile@2993a339,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@43446753,de.ugoe.cs.tcs.se.graph.SEFile@4239a7bd,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@43446753,de.ugoe.cs.tcs.se.graph.SEFile@7c5dd4f1,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@43446753,de.ugoe.cs.tcs.se.graph.SEFile@22f2aaca,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ca03797,de.ugoe.cs.tcs.se.graph.SEFile@2993a339,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ca03797,de.ugoe.cs.tcs.se.graph.SEFile@4239a7bd,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ca03797,de.ugoe.cs.tcs.se.graph.SEFile@7c5dd4f1,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ca03797,de.ugoe.cs.tcs.se.graph.SEFile@22f2aaca,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2993a339,de.ugoe.cs.tcs.se.graph.SEFile@4239a7bd,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2993a339,de.ugoe.cs.tcs.se.graph.SEFile@7c5dd4f1,7.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2993a339,de.ugoe.cs.tcs.se.graph.SEFile@22f2aaca,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4239a7bd,de.ugoe.cs.tcs.se.graph.SEFile@7c5dd4f1,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4239a7bd,de.ugoe.cs.tcs.se.graph.SEFile@22f2aaca,1.0,Undirected
