Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7a9ffa91,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@b268e60,com.yahoo.jute.compiler,1.0
de.ugoe.cs.tcs.se.graph.SEFile@64592a57,com.yahoo.jute.compiler,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1f29dcf7,com.yahoo.zookeeper.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6833a58,com.yahoo.zookeeper.test,0.9
de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,com.yahoo.zookeeper.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,com.yahoo.zookeeper.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@17f7f39e,org.apache.zookeeper.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@ad965f0,org.apache.zookeeper.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,com.yahoo.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@11342885,com.yahoo.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7579c615,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@639b4511,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2505b8a3,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6ac4ae89,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@30902cff,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,com.yahoo.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4d81dfb9,com.yahoo.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@28ae0110,com.yahoo.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5aaee682,com.yahoo.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@65add15d,com.yahoo.zookeeper,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7d0df816,com.yahoo.zookeeper,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6ac96a15,com.yahoo.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1de3a43f,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7ee930dc,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4ee1c39d,com.yahoo.jute.compiler,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5ac14524,com.yahoo.jute.compiler,1.0
de.ugoe.cs.tcs.se.graph.SEFile@273337b7,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5e428695,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5645a51e,com.yahoo.zookeeper.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@625ee53e,com.yahoo.zookeeper.test,1.0
